iter	RMSE
203	0.9051055787
204	0.9002710245
205	0.8959245112
206	0.8921639659
207	0.886856202
208	0.8832416286
209	0.8783104987
210	0.8741539253
211	0.8692145749
212	0.8653161586
213	0.8590695558
214	0.8539824426
215	0.8481391646
216	0.8444405073
217	0.841492621
218	0.8376680828
219	0.8352269966
220	0.8305861212
221	0.8271303995
222	0.8227524567
223	0.8198387155
224	0.818076905
225	0.8141294983
226	0.8115113349
227	0.8069005967
228	0.8039812289
229	0.8015053522
230	0.798529835
231	0.7943096006
232	0.7911634821
233	0.7873982082
234	0.7844480128
235	0.7816595542
236	0.7784176331
237	0.7744784123
238	0.7708426162
239	0.7667652399
240	0.7640463363
241	0.7613703414
242	0.7596479958
243	0.7551981482
244	0.7510813402
245	0.7471859699
246	0.7436652821
247	0.7390117151
248	0.7347973655
249	0.7308691867
250	0.7269178217
251	0.7230880919
252	0.7199802086
253	0.7187328096
254	0.7156318136
255	0.7116614781
256	0.7102425205
257	0.7070581033
258	0.7044797505
259	0.7008840817
260	0.6970572677
261	0.6940499809
262	0.6906812892
263	0.6884656192
264	0.6875096008
265	0.6845630488
266	0.6829298746
267	0.6800115601
268	0.6788262413
269	0.6769985063
270	0.6761106556
271	0.6722063828
272	0.6708333029
273	0.670173653
274	0.6691422118
275	0.6675410484
276	0.6669744839
277	0.6635371781
278	0.6607957389
279	0.6573691365
280	0.6557235692
281	0.654151838
282	0.6516266739
283	0.6480777085
284	0.6448110271
285	0.6432475008
286	0.642558206
287	0.6419197293
288	0.6411766974
289	0.640399364
290	0.6369496609
291	0.6361753913
292	0.6331898887
293	0.6299979416
294	0.6289408956
295	0.6281295265
296	0.6274073342
297	0.6247886113
298	0.6218517382
299	0.618884805
300	0.6162377228
301	0.61472176
302	0.6133223471
303	0.6102260147
304	0.6087878919
305	0.6062108436
306	0.604850009
307	0.6036962679
308	0.6021566698
309	0.5998107176
310	0.5994116401
311	0.5984393646
312	0.5959886156
313	0.5939033886
314	0.5910626454
315	0.5901166719
316	0.5869545627
317	0.585865828
318	0.5847319523
319	0.5823949543
320	0.5800722748
321	0.5791212472
322	0.5779705437
323	0.5768292859
324	0.574550152
325	0.57199388
326	0.5708951869
327	0.5683625718
328	0.5657706289
329	0.5649055193
330	0.5621482614
331	0.5604205141
332	0.559817569
333	0.5593546259
334	0.5571395738
335	0.5546398947
336	0.5535750449
337	0.5525238267
338	0.5500871014
339	0.5480810706
340	0.5460544068
341	0.5437151419
342	0.542719304
343	0.5408254239
344	0.5383274383
345	0.5363619262
346	0.5343833522
347	0.5323810868
348	0.5304926577
349	0.5298137625
350	0.5275931753
351	0.5256076487
352	0.5236151073
353	0.5217763209
354	0.5199921423
355	0.5178482358
356	0.5166676988
357	0.51518377
358	0.5136090094
359	0.511249237
360	0.509505404
361	0.5076198136
362	0.5057591055
363	0.503379269
364	0.5012596329
365	0.4993880221
366	0.4974074448
367	0.4951658118
368	0.49316343
369	0.4917975888
370	0.4898827022
371	0.4882110112
372	0.4865923463
373	0.4850415501
374	0.4835928906
375	0.4817970765
376	0.4805113056
377	0.4789298839
378	0.4772237522
379	0.4756946872
380	0.4738816635
381	0.4717833154
382	0.4697627154
383	0.4685373434
384	0.4664941275
385	0.4648400408
386	0.4629119654
387	0.461290234
388	0.4593768423
389	0.458323742
390	0.456539035
391	0.4546649381
392	0.453147245
393	0.4515818734
394	0.4508974751
395	0.4501313961
396	0.4490960197
397	0.4483321465
398	0.4466575461
399	0.4453232442
400	0.4437550095
401	0.4421704887
402	0.4416543974
403	0.4410808498
404	0.439518191
405	0.4379934954
406	0.4364171901
407	0.4352597138
408	0.4346646569
409	0.4337405604
410	0.4329219983
411	0.431611616
412	0.43063481
413	0.4294370059
414	0.4278642972
415	0.426963177
416	0.425625345
417	0.4244982074
418	0.4230642452
419	0.4218851608
420	0.420572209
421	0.4200657717
422	0.419125432
423	0.417724393
424	0.4172394878
425	0.4162532326
426	0.4147308196
427	0.4131449816
428	0.412362029
429	0.4117288169
430	0.4102137218
431	0.4096329382
432	0.4089151891
433	0.4077144837
434	0.4063467234
435	0.404910117
436	0.4035039182
437	0.4022670286
438	0.4011740863
439	0.4000263586
440	0.3985057844
441	0.397727587
442	0.3964958015
443	0.395401776
444	0.3941335893
445	0.3927630681
446	0.3925251988
447	0.3923232479
448	0.3910592744
449	0.3896770515
450	0.3885425561
451	0.3878155505
452	0.3868065758
453	0.3857747092
454	0.3855810477
455	0.3852230552
456	0.3850185748
457	0.3839918405
458	0.3829197197
459	0.3815565475
460	0.3812282391
461	0.3808138258
462	0.3799769216
463	0.3790934252
464	0.3778640027
465	0.3771865943
466	0.3761577774
467	0.3751716875
468	0.3748506258
469	0.3740038766
470	0.3730634851
471	0.3719581859
472	0.3708393183
473	0.3698400119
474	0.3686116158
475	0.3674380961
476	0.3665699069
477	0.3654520959
478	0.3647536052
479	0.3639396597
480	0.3630023528
481	0.3619977504
482	0.3610835912
483	0.3601980837
484	0.359220621
485	0.358024941
486	0.3573035565
487	0.3562999433
488	0.3558221756
489	0.3547593821
490	0.3536381274
491	0.3528054827
492	0.3518876885
493	0.3511495413
494	0.3502024521
495	0.3489178369
496	0.347979192
497	0.3468092732
498	0.3466589227
499	0.3456711828
500	0.344579842
501	0.3435035019
502	0.3426477323
503	0.342428164
504	0.3414595659
505	0.3402276989
506	0.3393988843
507	0.3386292083
508	0.338471501
509	0.3376415501
510	0.3375034112
511	0.3365734096
512	0.3355299819
513	0.3353712693
514	0.3349653353
515	0.3340876298
516	0.3331545176
517	0.332343058
518	0.3313002463
519	0.3303448197
520	0.3294308346
521	0.3286493517
522	0.3275966298
523	0.326694845
524	0.3259722437
525	0.3258785567
526	0.3251056288
527	0.3241697161
528	0.3232967072
529	0.3224745328
530	0.321796618
531	0.3209505107
532	0.3205652338
533	0.3198693547
534	0.3190448559
535	0.3180663504
536	0.3172422717
537	0.3165293033
538	0.3164074649
539	0.3160957209
540	0.315063651
541	0.3149782635
542	0.3148662332
543	0.3141390092
544	0.3133197706
545	0.3132381301
546	0.3123498061
547	0.3114944458
548	0.3108718261
549	0.3106089605
550	0.3095995283
551	0.3088104935
552	0.3080502129
553	0.3073086048
554	0.3068926242
555	0.3059002226
556	0.3058328412
557	0.3049770513
558	0.3045990084
559	0.3040539783
560	0.303389087
561	0.3025760335
562	0.301717549
563	0.3011859327
564	0.3011110116
565	0.3004808109
566	0.2999155441
567	0.2992304284
568	0.2985631729
569	0.2983319754
570	0.2982591411
571	0.2974902596
572	0.2969641798
573	0.2968673787
574	0.2968057082
575	0.29603768
576	0.2952060328
577	0.2945558405
578	0.294114758
579	0.2934297696
580	0.2925684133
581	0.2918566101
582	0.2911568566
583	0.2904707653
584	0.2898391171
585	0.2894945205
586	0.2888208843
587	0.2887127861
588	0.2886375744
589	0.2877941467
590	0.2872627293
591	0.2866976843
592	0.2860692642
593	0.2853627724
594	0.2852313662
595	0.2847208789
596	0.2839133227
597	0.2835097932
598	0.2827987893
599	0.282732202
600	0.2820065214
601	0.2814933612
602	0.2812305622
603	0.2805622742
604	0.2800198394
605	0.2794246903
606	0.2793044873
607	0.278597887
608	0.2781126257
609	0.2776681124
610	0.2770293533
611	0.2769305321
612	0.2764552264
613	0.2761476086
614	0.2760736805
615	0.2753501803
616	0.2752950176
617	0.2746877524
618	0.2742869306
619	0.2736229693
620	0.2730670295
621	0.2724886645
622	0.271862497
623	0.2714047161
624	0.2710311805
625	0.2704409055
626	0.2697024193
627	0.2690695134
628	0.269016362
629	0.2684823588
630	0.2679396281
631	0.2673297004
632	0.2666430793
633	0.2665914334
634	0.2662237599
635	0.2656884067
636	0.2650428311
637	0.2645572568
638	0.2641009648
639	0.2637554032
640	0.2631819121
641	0.262593699
642	0.2619962268
643	0.2613650296
644	0.2610077359
645	0.2604563381
646	0.2602010856
647	0.2596026556
648	0.259554644
649	0.2589958119
650	0.2583974869
651	0.257774224
652	0.2572167148
653	0.2564625137
654	0.2560291032
655	0.2554926557
656	0.2549861628
657	0.2545070068
658	0.2538579725
659	0.2534820481
660	0.2532017128
661	0.2527801136
662	0.252229479
663	0.2516736627
664	0.25123171
665	0.2511855207
666	0.2505489498
667	0.2502655277
668	0.2502204728
669	0.2496839232
670	0.2492150025
671	0.2486814132
672	0.2482539605
673	0.2477455499
674	0.247286269
675	0.2469402779
676	0.2466854214
677	0.2460919301
678	0.2459703942
679	0.2454411185
680	0.2448881366
681	0.2446354518
682	0.2442797761
683	0.2438111648
684	0.2432861997
685	0.2426001226
686	0.2421205662
687	0.2416480803
688	0.2412584835
689	0.2408785388
690	0.2403966657
691	0.2398361911
692	0.2393561335
693	0.2388514581
694	0.2386400661
695	0.2381596478
696	0.2376423614
697	0.2372725239
698	0.2372317819
699	0.2368563679
700	0.2362904041
701	0.2359825092
702	0.2355397756
703	0.2350552957
704	0.2350170833
705	0.2349794739
706	0.234432354
707	0.2341587743
708	0.233775595
709	0.23331427
710	0.2328425506
711	0.2326016278
712	0.2322188646
713	0.2317095396
714	0.2313515866
715	0.2311555545
716	0.2307209011
717	0.2304744068
718	0.230067533
719	0.2296686578
720	0.2295635251
721	0.2293525154
722	0.2290267107
723	0.2287617521
724	0.2285219604
725	0.2281288111
726	0.2277097126
727	0.2272221106
728	0.2267538366
729	0.2264349814
730	0.2260240284
731	0.2255994875
732	0.2252451856
733	0.224876121
734	0.2244865473
735	0.2241816822
736	0.2237837243
737	0.2235457852
738	0.2232540134
739	0.2231609547
740	0.2227982134
741	0.2224885149
742	0.2222447029
743	0.221777585
744	0.2213522774
745	0.2209037866
746	0.2204608432
747	0.2200651588
748	0.2196024986
749	0.2190956118
750	0.2188465538
751	0.2185991813
752	0.2181961605
753	0.2177092467
754	0.2173021913
755	0.2168613113
756	0.2165543889
757	0.2161207192
758	0.21568827
759	0.2154561553
760	0.2150790363
761	0.2147208171
762	0.214425938
763	0.2140061104
764	0.2137320513
765	0.2134740922
766	0.2130905194
767	0.2127932788
768	0.2126671631
769	0.2122427587
770	0.212029068
771	0.2118134938
772	0.2114279778
773	0.2110979566
774	0.2106118221
775	0.2102352778
776	0.2098098411
777	0.2093774807
778	0.2089830555
779	0.208844429
780	0.2084843386
781	0.2081729881
782	0.2078195981
783	0.2077016229
784	0.2072494741
785	0.2069663072
786	0.2065701987
787	0.2061672057
788	0.2057820695
789	0.2053434967
790	0.2050617071
791	0.2048288885
792	0.204510435
793	0.2042153321
794	0.2038444447
795	0.2036814961
796	0.2035867003
797	0.2035116114
798	0.2031889145
799	0.2028058029
