player_name,player_short_name,player_id,player_birthdate,team_name,team_id,competition_name,season_name,position_group,minutes_full_all,count_match,distance_per_match,total_metersperminute_full_all,running_per_match,hsr_per_match,sprint_per_match,hi_per_match,hsr_count_per_match,sprint_count_per_match,hi_count_per_match,high_accel_per_match,high_decel_per_match,accel_decel_load_per_match,high_intensity_share,sprint_share,top_speed,load_index,load_level,load_comment
Joe Caletti,J. Caletti,50973,1998-09-14,Brisbane Roar FC,1802,AUS - A-League,2024/2025,Midfield,68.68,1,9111.0,132.65,1756.0,473.0,31.0,504.0,40.0,4.0,44.0,3.0,12.0,194.0,0.05531774777741192,0.003402480518055098,25.2,44.0087577332348,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Ben Folami,B. Folami,18811,1999-06-08,Adelaide United Football Club,866,AUS - A-League,2024/2025,Midfield,70.33,1,7377.0,104.89,856.0,494.0,143.0,637.0,44.0,10.0,54.0,7.0,15.0,184.0,0.0863494645519859,0.01938457367493561,28.0,43.42106497328414,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Miguel Di Pizio,M. Di Pizio,795514,2006-01-04,Central Coast Mariners Football Club,870,AUS - A-League,2024/2025,Center Forward,88.65,1,10305.0,116.24,1502.0,448.0,56.0,504.0,44.0,7.0,51.0,4.0,15.0,201.0,0.04890829694323144,0.005434255215914605,26.0,43.17251826285414,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Trent Sainsbury,T. Sainsbury,10549,1992-01-05,Central Coast Mariners Football Club,870,AUS - A-League,2024/2025,Full Back,97.3,1,10408.0,106.97,1427.0,350.0,112.0,462.0,37.0,6.0,43.0,6.0,12.0,206.0,0.04438893159108378,0.010760953112990008,29.9,43.09579689783978,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Fabian Monge,F. Monge,796012,2001-06-12,Melbourne Victory Football Club,868,AUS - A-League,2024/2025,Midfield,64.9,1,8853.0,136.41,1886.0,559.0,15.0,574.0,40.0,3.0,43.0,2.0,7.0,157.0,0.06483677849316616,0.0016943409013893595,24.8,42.85424761053163,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Fabian Talladira,F. Talladira,973078,2006-02-04,Adelaide United Football Club,866,AUS - A-League,2024/2025,Full Back,96.0,1,10484.0,109.21,1334.0,397.0,76.0,473.0,39.0,5.0,44.0,5.0,16.0,231.0,0.045116367798550175,0.007249141549027089,27.5,42.65061867195969,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Francisco de Oliveira Geraldes,Chico Geraldes,12780,1995-04-18,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Wide Attacker,68.5,1,8143.0,118.88,1335.0,432.0,104.0,536.0,40.0,6.0,46.0,5.0,12.0,183.0,0.06582340660690163,0.012771705759548078,26.6,42.63293336697609,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Walid Shour,Walid Shour,287934,1996-06-10,Brisbane Roar FC,1802,AUS - A-League,2024/2025,Full Back,74.18,1,8861.0,119.45,1259.0,318.0,88.0,406.0,32.0,6.0,38.0,6.0,9.0,215.0,0.04581875634804198,0.009931159011398263,29.1,42.4910600378232,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Jordan Lauton,J. Lauton,809670,2003-04-01,Western United,1803,AUS - A-League,2024/2025,Midfield,79.5,1,10300.0,129.56,2151.0,530.0,33.0,563.0,40.0,2.0,42.0,2.0,7.0,169.0,0.05466019417475728,0.003203883495145631,24.6,42.36593207191831,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Takuya Okamoto,T. Okamoto,26981,1992-06-18,Perth Glory Football Club,871,AUS - A-League,2024/2025,Central Defender,97.02,1,10670.0,109.98,1294.0,482.0,70.0,552.0,44.0,4.0,48.0,4.0,10.0,233.0,0.05173383317713215,0.006560449859418931,27.3,42.27803613356278,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Mohamed Al-Taay,M. Al-Taay,735576,2000-06-15,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Midfield,62.65,1,7877.0,125.73,1320.0,550.0,29.0,579.0,41.0,1.0,42.0,4.0,11.0,223.0,0.07350514155135204,0.0036816046718293766,24.7,41.889662962695425,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Reno Piscopo,R. Piscopo,51714,1998-05-27,Melbourne Victory Football Club,868,AUS - A-League,2024/2025,Center Forward,67.92,1,8263.0,121.66,1347.0,351.0,114.0,465.0,40.0,6.0,46.0,4.0,8.0,150.0,0.05627496066803824,0.01379644197022873,28.8,41.79863229412059,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Thomas Aquilina,T. Aquilina,735573,2001-02-02,Newcastle United Jets FC,1805,AUS - A-League,2024/2025,Central Defender,98.65,1,10640.0,107.86,1283.0,351.0,76.0,427.0,31.0,4.0,35.0,7.0,12.0,214.0,0.04013157894736842,0.007142857142857143,28.7,41.77721110511534,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Jarrod Carluccio,J. Carluccio,795533,2001-02-08,Perth Glory Football Club,871,AUS - A-League,2024/2025,Full Back,96.52,2,5752.25,119.2,857.25,384.0,152.75,536.75,36.5,7.5,44.0,4.5,12.5,134.25,0.09331131296449216,0.026554826372289106,29.15,41.319183315279034,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Dean Bosnjak,D. Bosnjak,966117,2006-10-11,Macarthur FC,1804,AUS - A-League,2024/2025,Wide Attacker,62.53,1,7322.0,117.09,1194.0,390.0,118.0,508.0,40.0,7.0,47.0,4.0,12.0,159.0,0.0693799508331057,0.016115815350996994,28.5,41.02317229693739,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
David Williams,D. Williams,560984,1988-02-26,Perth Glory Football Club,871,AUS - A-League,2024/2025,Center Forward,99.1,1,11082.0,111.83,1404.0,467.0,30.0,497.0,39.0,3.0,42.0,5.0,8.0,209.0,0.0448475004511821,0.0027070925825663237,25.7,40.02333296739624,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Kasey Bos,K. Bos,811820,2004-05-08,Melbourne Victory Football Club,868,AUS - A-League,2024/2025,Wide Attacker,64.38,1,7809.0,121.29,1317.0,390.0,104.0,494.0,33.0,4.0,37.0,3.0,9.0,163.0,0.06326034063260341,0.013317966448969138,28.2,39.88477714327041,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Nathan Walker,N. Walker,799453,2006-01-30,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Full Back,84.72,2,4939.75,116.61,695.25,371.75,161.25,533.0,34.75,8.0,42.75,3.75,13.75,123.5,0.10790019737840983,0.032643352396376335,30.0,39.592191978060676,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
David Williams,D. Williams,560984,1988-02-26,Perth Glory Football Club,871,AUS - A-League,2024/2025,Wide Attacker,68.52,1,8153.0,118.99,1342.0,375.0,80.0,455.0,33.0,5.0,38.0,3.0,13.0,175.0,0.05580767815528027,0.009812339016313013,28.0,39.5808312885393,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Steven Ugarković,S. Ugarković,51681,1994-08-19,Melbourne City FC,2380,AUS - A-League,2024/2025,Center Forward,97.93,2,6437.5,131.47,1097.0,346.25,89.0,435.25,32.25,6.5,38.75,3.0,6.25,123.5,0.0676116504854369,0.013825242718446602,27.85,39.08910648082682,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Jacob  Brazete,J. Brazete,965698,2006-01-20,Brisbane Roar FC,1802,AUS - A-League,2024/2025,Midfield,85.33,1,9841.0,115.32,1294.0,427.0,65.0,492.0,36.0,6.0,42.0,2.0,12.0,210.0,0.04999491921552688,0.0066050198150594455,25.7,39.072208814190375,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Miguel Di Pizio,M. Di Pizio,795514,2006-01-04,Central Coast Mariners Football Club,870,AUS - A-League,2024/2025,Wide Attacker,66.03,1,7760.0,117.52,1158.0,398.0,95.0,493.0,38.0,6.0,44.0,3.0,10.0,142.0,0.06353092783505154,0.012242268041237113,28.3,39.02781976533949,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
