competition_name,season_name,match_id,match_date,player_id,player_name,team_id,team_name,position_name,total_events,shots,goals,xg,passes,completed_passes,pass_accuracy,progressive_passes,passes_into_final_third,key_passes,carries,progressive_carries,pressures,duels,duels_won,interceptions,clearances,blocks,dribbles,successful_dribbles,avg_x,avg_y,home_team,away_team,competition_stage,opponent_team,is_home_team,duel_success_rate,dribble_success_rate,xg_per_shot,xg_norm,shots_norm,goals_norm,key_passes_norm,progressive_passes_norm,passes_into_final_third_norm,progressive_carries_norm,pressures_norm,interceptions_norm,duel_success_rate_norm,dribble_success_rate_norm,total_events_norm,form_score,form_level
UEFA Euro,2024,3930166,2024-06-18,3193,Bernardo Mota Veiga de Carvalho e Silva,780,Portugal,Center Attacking Midfield,213,2,0,0.100102624,59,49,0.8305084745762712,10,2,2,53,9,17,1,0,0,0,1,1,1,79.99014084507044,49.59577464788729,Portugal,Czech Republic,Group Stage,Czech Republic,1,0.0,1.0,0.050051312,0.051350467486661805,0.2222222222222222,0.0,0.2857142857142857,0.17543859649122806,0.06060606060606061,0.391304347826087,0.4594594594594595,0.0,0.0,1.0,0.5059665871121718,17.8482751143802,low
UEFA Euro,2024,3930166,2024-06-18,4870,Tomáš Souček,912,Czech Republic,Center Defensive Midfield,97,1,0,0.06547854,21,19,0.9047619047619048,6,3,0,21,1,14,2,1,2,3,3,0,0,51.40842105263155,40.57999999999999,Portugal,Czech Republic,Group Stage,Portugal,0,0.5,0.0,0.06547854,0.033589065950399906,0.1111111111111111,0.0,0.0,0.10526315789473684,0.09090909090909091,0.043478260869565216,0.3783783783783784,0.25,0.5,0.0,0.22911694510739858,8.697732772212346,low
UEFA Euro,2024,3930166,2024-06-18,28034,Lukáš Provod,912,Czech Republic,Right Center Midfield,102,1,1,0.035857204,26,19,0.7307692307692307,6,2,0,22,5,15,0,0,1,0,2,1,1,60.36138613861383,44.64455445544552,Portugal,Czech Republic,Group Stage,Portugal,0,0.0,1.0,0.035857204,0.018393965258738865,0.1111111111111111,0.5,0.0,0.10526315789473684,0.06060606060606061,0.21739130434782608,0.40540540540540543,0.125,0.0,1.0,0.24105011933174225,18.69277958636689,low
UEFA Euro,2024,3930166,2024-06-18,32975,Diogo Meireles Costa,780,Portugal,Goalkeeper,61,0,0,0.0,24,19,0.7916666666666666,18,1,0,15,0,0,0,0,0,0,0,0,0,12.545901639344264,40.227868852459025,Portugal,Czech Republic,Group Stage,Czech Republic,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.1431980906921241,3.3094098883572567,low
UEFA Euro,2024,3930166,2024-06-18,5206,Rúben Santos Gato Alves Dias,780,Portugal,Right Center Back,281,1,0,0.03168744,93,87,0.9354838709677419,25,10,1,78,9,8,3,0,0,5,3,0,0,59.49893238434157,63.19715302491105,Portugal,Czech Republic,Group Stage,Czech Republic,1,0.0,0.0,0.03168744,0.01625496707714222,0.1111111111111111,0.0,0.14285714285714285,0.43859649122807015,0.30303030303030304,0.391304347826087,0.21621621621621623,0.0,0.0,0.0,0.6682577565632458,13.058689007733088,low
UEFA Euro,2024,3930166,2024-06-18,20016,Kléper Laveran Lima Ferreira,780,Portugal,Center Back,239,0,0,0.0,78,73,0.9358974358974359,28,5,1,70,2,6,3,2,1,4,0,0,0,50.515899581589956,32.75606694560666,Portugal,Czech Republic,Group Stage,Czech Republic,1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.49122807017543857,0.15151515151515152,0.08695652173913043,0.16216216216216217,0.125,0.6666666666666666,0.0,0.568019093078759,11.771557539292091,low
UEFA Euro,2024,3930166,2024-06-18,16028,José Diogo Dalot Teixeira,780,Portugal,Right Wing Back,130,1,0,0.02290134,40,37,0.925,4,1,1,37,1,6,0,0,0,0,1,2,1,78.04108527131778,72.5434108527132,Portugal,Czech Republic,Group Stage,Czech Republic,1,0.0,0.5,0.02290134,0.011747888997105483,0.1111111111111111,0.0,0.14285714285714285,0.07017543859649122,0.030303030303030304,0.043478260869565216,0.16216216216216217,0.0,0.0,0.5,0.30787589498806683,6.845286199857573,low
UEFA Euro,2024,3930166,2024-06-18,18360,Rafael Alexandre Conceição Leão,780,Portugal,Left Center Forward,97,1,0,0.008591539,23,15,0.6521739130434783,0,0,1,25,9,4,2,1,0,0,1,1,1,90.5614583333333,13.40520833333334,Portugal,Czech Republic,Group Stage,Czech Republic,1,0.5,1.0,0.008591539,0.004407272521446459,0.1111111111111111,0.0,0.14285714285714285,0.0,0.0,0.391304347826087,0.10810810810810811,0.0,0.5,1.0,0.22911694510739858,12.320839675867937,low
UEFA Euro,2024,3930166,2024-06-18,28040,Jindřich Staněk,912,Czech Republic,Goalkeeper,87,0,0,0.0,36,15,0.4166666666666667,31,5,0,14,0,0,0,0,0,0,0,0,0,6.141379310344829,39.882758620689664,Portugal,Czech Republic,Group Stage,Portugal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543859649122807,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.2052505966587112,6.196172248803828,low
UEFA Euro,2024,3930166,2024-06-18,35441,David Doudera,912,Czech Republic,Left Wing Back,112,0,0,0.0,26,18,0.6923076923076923,15,4,0,25,6,16,3,1,1,1,2,2,1,43.561607142857135,11.303571428571427,Portugal,Czech Republic,Group Stage,Portugal,0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.12121212121212122,0.2608695652173913,0.43243243243243246,0.125,0.3333333333333333,0.5,0.2649164677804296,11.320091570663653,low
